or (ug/ml),ug NO3-N/g dry soil,ug NH4-N/g dry soil,ug N/g dry soil,
Sample,final_value,final_value,PAN,New PAN
49_A10_T1_R1_D29,14.53888631,0.7175034803,15.25638979,
50_A10_T1_R2_D29,16.46770728,0.6355957195,17.103303,
51_A10_T1_R3_D29,16.08249775,0.3755792888,16.45807704,
52_A10_T1_R4_D29,18.59844548,0.6230951276,19.2215406,
53_A10_T2_R1_D29,72.03732259,36.51792987,108.5552525,
54_A10_T2_R2_D29,86.18746326,39.53616473,125.723628,
55_A10_T2_R3_D29,70.99508121,26.91582135,97.91090255,
56_A10_T2_R4_D29,78.30307692,35.78141763,114.0844946,
57_A10_T3_R1_D29,45.32857933,7.521455649,52.85003498,
58_A10_T3_R2_D29,51.32394253,5.613840086,56.93778262,
59_A10_T3_R3_D29,51.35333888,5.313644092,56.66698297,
60_A10_T3_R4_D29,50.84765756,11.00736223,61.85501979,
61_A10_T4_R1_D29,14.06684455,7.675399072,21.74224362,
62_A10_T4_R2_D29,18.62196145,8.566102267,27.18806372,
63_A10_T4_R3_D29,17.84317865,7.543227378,25.38640603,
64_A10_T4_R4_D29,12.34225574,3.273761451,15.61601719,
65_A10_T5_R1_D29,4.269425308,1.489756916,5.759182224,
66_A10_T5_R2_D29,5.208592421,1.287406806,6.495999227,
67_A10_T5_R3_D29,3.815231126,2.062041585,5.877272711,
68_A10_T5_R4_D29,9.182975529,3.191752659,12.37472819,
69_A10_T6_R1_D29,16.85112506,1.712889086,18.56401415,
70_A10_T6_R2_D29,14.63796202,2.542382878,17.1803449,
71_A10_T6_R3_D29,13.00082154,1.858635968,14.8594575,
72_A10_T6_R4_D29,15.93113861,4.166605483,20.09774409,
193_B15_T1_R1_D29,19.84615385,0.5668483978,20.41300224,
194_B15_T1_R2_D29,24.89458576,0.4750875146,25.36967328,
195_B15_T1_R3_D29,21.32296811,3.188752959,24.51172107,
196_B15_T1_R4_D29,17.30873201,0.3758467522,17.68457876,
197_B15_T2_R1_D29,106.8196033,0.9495075846,107.7691109,
198_B15_T2_R2_D29,111.4682342,2.245189809,113.713424,
199_B15_T2_R3_D29,114.6496598,1.490262723,116.1399225,
200_B15_T2_R4_D29,124.4048219,4.435707507,128.8405294,
201_B15_T3_R1_D29,80.54732879,4.324504712,84.8718335,
202_B15_T3_R2_D29,64.27329414,1.746258774,66.01955291,
203_B15_T3_R3_D29,59.97621757,0.9325570416,60.90877462,
204_B15_T3_R4_D29,72.04460282,1.17026766,73.21487048,
205_B15_T4_R1_D29,46.26214343,1.087983215,47.35012665,
206_B15_T4_R2_D29,26.83034742,1.938245833,28.76859325,
207_B15_T4_R3_D29,40.38243874,1.026189032,41.40862777,
208_B15_T4_R4_D29,35.44477334,0.9422028357,36.38697618,
209_B15_T5_R1_D29,13.69850848,3.093812799,16.79232128,
210_B15_T5_R2_D29,10.66148406,4.216132332,14.87761639,
211_B15_T5_R3_D29,8.57321619,1.006421031,9.579637221,
212_B15_T5_R4_D29,6.909487462,0.448668017,7.358155479,
213_B15_T6_R1_D29,15.77290548,3.145079347,18.91798483,
214_B15_T6_R2_D29,26.69673099,1.033126919,27.72985791,
215_B15_T6_R3_D29,24.31780652,2.925315471,27.24312199,
216_B15_T6_R4_D29,22.02569255,0.9338893643,39.54727306,
337_C20_T1_R1_D29,38.6133837,4.711541314,43.32492501,
338_C20_T1_R2_D29,38.49051583,5.05247714,43.54299297,
339_C20_T1_R3_D29,44.3890459,5.137365768,49.52641167,
340_C20_T1_R4_D29,45.07846859,4.959517173,50.03798576,
341_C20_T2_R1_D29,145.9411187,8.368719693,154.3098384,
342_C20_T2_R2_D29,149.5458059,6.088998612,155.6348045,
343_C20_T2_R3_D29,144.2533572,5.788868492,150.0422257,
344_C20_T2_R4_D29,140.5336057,6.692935522,147.2265412,
345_C20_T3_R1_D29,77.40389301,6.65992306,84.06381607,
346_C20_T3_R2_D29,94.54627198,7.48615592,102.0324279,
347_C20_T3_R3_D29,77.40389301,6.863617516,84.26751053,
348_C20_T3_R4_D29,87.58545002,6.91843874,94.50388876,
349_C20_T4_R1_D29,57.25543602,7.398174317,64.65361034,
350_C20_T4_R2_D29,58.05996092,8.032953497,66.09291442,
351_C20_T4_R3_D29,54.46000359,7.50164629,61.96164988,
352_C20_T4_R4_D29,62.63317702,8.380915592,71.01409261,
353_C20_T5_R1_D29,21.8728632,7.903639643,29.77650284,
354_C20_T5_R2_D29,21.07794798,7.704964179,28.78291216,
355_C20_T5_R3_D29,20.34362251,7.870021102,28.21364361,
356_C20_T5_R4_D29,21.22954369,7.967971593,29.19751528,
357_C20_T6_R1_D29,32.20185959,7.125901701,39.32776129,
358_C20_T6_R2_D29,31.71425948,6.800173505,38.51443299,
359_C20_T6_R3_D29,29.75710304,8.369185229,38.12628827,
360_C20_T6_R4_D29,32.16597529,6.76404509,38.93002038,