sample name,pH,Date of measurement
A10_D1_T1,7.25,7/3
A10_D1_T2,6.98,7/3
A10_D1_T3,6.96,7/3
A10_D1_T4,6.9,7/3
A10_D1_T5,6.95,7/3
A10_D1_T6,6.94,7/3
A10_D15_T1,7.06,7/17
A10_D15_T2,7.02,7/17
A10_D15_T3,6.76,7/17
A10_D15_T4,6.85,7/17
A10_D15_T5,6.8,7/17
A10_D15_T6,6.78,7/17
A10_D29_T1,6.63,7/31
A10_D29_T2,6.4,7/31
A10_D29_T3,6.4,7/31
A10_D29_T4,6.6,7/31
A10_D29_T5,6.7,7/31
A10_D29_T6,6.7,7/31
A10_D57_T1,5.88,8/28
A10_D57_T2,5.65,8/28
A10_D57_T3,5.78,8/28
A10_D57_T4,6.06,8/28
A10_D57_T5,6.23,8/28
A10_D57_T6,6.16,8/28
A10_D85_T1,5.77,9/25/2023
A10_D85_T2,5.6,9/25/2023
A10_D85_T3,5.96,9/25/2023
A10_D85_T4,6.05,9/25/2023
A10_D85_T5,6.24,9/25/2023
A10_D85_T6,6.27,9/25/2023
A10_D112_T1,5.98,10/23/2023
A10_D112_T2,5.62,10/23/2023
A10_D112_T3,6.07,10/23/2023
A10_D112_T4,6.21,10/23/2023
A10_D112_T5,6.49,10/23/2023
A10_D112_T6,6.49,10/23/2023
B15_D1_T1,7.16,7/5
B15_D1_T2,6.95,7/5
B15_D1_T3,6.92,7/5
B15_D1_T4,6.89,7/5
B15_D1_T5,6.87,7/5
B15_D1_T6,6.86,7/5
B15_D15_T1,6.93,7/19
B15_D15_T2,7.12,7/19
B15_D15_T3,6.6,7/19
B15_D15_T4,6.88,7/19
B15_D15_T5,6.87,7/19
B15_D15_T6,6.87,7/19
B15_D29_T1,6.19,8/2/23
B15_D29_T2,5.83,8/2/23
B15_D29_T3,6.13,8/2/23
B15_D29_T4,6.3,8/2/23
B15_D29_T5,6.58,8/2/23
B15_D29_T6,6.53,8/2/23
B15_D57_T1,6.45,8/30/23
B15_D57_T2,5.68,8/30/23
B15_D57_T3,5.67,8/30/23
B15_D57_T4,5.75,8/30/23
B15_D57_T5,5.94,8/30/23
B15_D57_T6,5.9,8/30/23
B15_D85_T1,6.15,9/28/2023
B15_D85_T2,5.57,9/28/2023
B15_D85_T3,5.68,9/28/2023
B15_D85_T4,5.89,9/28/2023
B15_D85_T5,6,9/28/2023
B15_D85_T6,5.92,9/28/2023
B15_D112_T1,6.67,10/27/2023
B15_D112_T2,6.07,10/27/2023
B15_D112_T3,6.1,10/27/2023
B15_D112_T4,6.22,10/27/2023
B15_D112_T5,6.35,10/27/2023
B15_D112_T6,6.29,10/27/2023
C20_D1_T1,7.16,7/7
C20_D1_T2,6.96,7/7
C20_D1_T3,6.96,7/7
C20_D1_T4,6.95,7/7
C20_D1_T5,7,7/7
C20_D1_T6,6.84,7/7
C20_D15_T1,6.92,7/21
C20_D15_T2,6.33,7/21
C20_D15_T3,6.6,7/21
C20_D15_T4,6.89,7/21
C20_D15_T5,7.02,7/21
C20_D15_T6,6.92,7/21
C20_D29_T1,5.76,8/4/23
C20_D29_T2,5.42,8/4/23
C20_D29_T3,5.76,8/4/23
C20_D29_T4,6.24,8/4/23
C20_D29_T5,6.4,8/4/23
C20_D29_T6,6.25,8/4/23
C20_D57_T1,6.04,9/1/23
C20_D57_T2,5.44,9/1/23
C20_D57_T3,5.49,9/1/23
C20_D57_T4,5.44,9/1/23
C20_D57_T5,5.67,9/1/23
C20_D57_T6,5.7,9/1/23
C20_D85_T1,5.96,9/28/2023
C20_D85_T2,5.4,9/28/2023
C20_D85_T3,5.55,9/28/2023
C20_D85_T4,5.58,9/28/2023
C20_D85_T5,5.73,9/28/2023
C20_D85_T6,5.82,9/28/2023
C20_D112_T1,6.68,10/30/2023
C20_D112_T2,6.03,10/30/2023
C20_D112_T3,6.12,10/30/2023
C20_D112_T4,6.15,10/30/2023
C20_D112_T5,6.3,10/30/2023
C20_D112_T6,6.27,10/30/2023